Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
dominus,Noun,62,1.772,dominus(26) domnus(36),domini(3) dominis(1) domino(10) dominum(2) dominus(10) domni(17) domno(5) domnorum(4) domnum(4) domnus(6),,green
suus,Pronoun,60,1.715,suus(60),sua(8) suae(5) suam(5) suas(2) sui(6) suis(5) suo(12) suorum(3) suos(4) suum(9) suus(1),,green
noster,Pronoun,52,1.486,noster(52),noster(1) nostra(9) nostrae(5) nostram(3) nostri(9) nostris(5) nostro(13) nostrorum(3) nostros(1) nostrum(3),,green
omnis,Adjective,50,1.429,omnis(50),omne(1) omnebus(2) omnes(4) omni(12) omnia(11) omnibus(16) omnis(1) omnium(3),,green
lex,Noun,33,0.943,lex(33),lege(4) legebus(2) legem(15) leges(1) legibus(3) legis(1) legum(2) lex(5),,green
facio,Verb,33,0.943,facio(33),facere(8) faciant(4) faciat(7) facienda(1) faciente(2) facit(1) facta(1) factum(2) factus(1) fecerint(1) fecerit(3) fecit(2),,green
convenio,Verb,31,0.886,convenio(31),convenerit(1) convenissent(1) convenit(29),,green
ecclesia,Noun,31,0.886,aecclesia(1) aeclesia(1) ecclesia(29),aecclesiae(1) aeclesiae(1) ecclesia(5) ecclesiae(10) ecclesiam(3) ecclesiarum(6) ecclesias(1) ecclesiis(4),,green
iudex,Noun,30,0.857,iudex(30),iudex(8) iudice(3) iudicebus(1) iudicem(2) iudices(3) iudici(1) iudicibus(5) iudicis(2) iudicum(5),,green
servus,Noun,30,0.857,servus(30),servi(3) servis(2) servo(5) servum(7) servus(13),,green
debeo,Verb,29,0.829,debeo(29),debeamus(1) debeant(10) debeat(9) debent(1) debet(6) debetis(1) debetur(1),,green
rex,Noun,27,0.772,rex(27),rege(1) reges(4) regibus(2) regis(7) regum(4) rex(9),,green
res,Noun,26,0.743,res(26),re(2) rebus(7) rem(2) rerum(1) res(14),,green
praesumo,Verb,26,0.743,praesumo(21) presummo(2) presumo(3),praesumant(5) praesumat(6) praesumpserit(10) presummat(2) presumpserit(3),,green
deus,Noun,26,0.743,deus(26),dei(7) deo(11) deum(2) deus(6),,green
habeo,Verb,22,0.629,habeo(22),habeant(2) habeat(4) habeatur(1) habemus(1) habens(1) habet(5) habetur(1) habuerint(1) habuerit(4) habuerunt(1) habuissent(1),,green
latro,Noun,20,0.572,latro(20),latro(5) latrone(1) latronem(9) latrones(1) latroni(1) latronis(3),,green
ita,Adverb,20,0.572,ita(20),ita(20),,green
causa,Noun,20,0.572,causa(20),causa(7) causae(1) causam(5) causarum(3) causis(4),,green
populus,Noun,19,0.543,populus(19),populi(3) populo(9) populorum(2) populos(1) populum(2) populus(2),,green
ProperName,Proper Name,19,0.543,ProperName(19),andelao(1) antonaco(1) asclipiodus(1) begora(1) benarno(1) caronna(1) chlodechildae(1) clodacharius(1) consorannis(1) gailesoindam(1) gotorum(1) hamingus(1) lapurdo(1) lemovicas(1) perrunas(1) rachymburgii(1) rossontinse(1) treiecto(1) turrovaninsis(1),,green
regnum,Noun,18,0.514,regnum(18),regna(1) regni(8) regno(7) regnum(2),,green
do,Verb,18,0.514,do(18),dabit(1) dare(7) dat(2) data(2) datum(1) datus(1) det(2) detur(2),,green
nox,Noun,17,0.486,nox(17),noctes(10) noctis(7),,green
compono,Verb,16,0.457,compono(9) conpono(7),componat(8) componere(1) conponat(6) conponere(1),,green
vero,Conjunction,15,0.429,vero(15),vero(15),,green
episcopus,Noun,15,0.429,episcopus(15),episcopi(2) episcopis(3) episcopo(6) episcoporum(4),,green
iustitia,Noun,14,0.4,iusticia(2) iustitia(12),iusticia(2) iustitia(3) iustitiae(3) iustitiam(6),,green
parens,Noun,14,0.4,parens(14),parentes(3) parentibus(6) parentis(2) parentum(3),,green
ago,Verb,14,0.4,ago(14),acta(2) actum(1) agens(3) agentes(3) agentibus(3) agere(2),,green
reddo,Verb,14,0.4,reddo(13) redo(1),reddant(1) reddantur(2) reddat(4) reddatur(1) reddenda(1) reddendos(1) reddendus(1) reddere(2) reddederit(1),,green
filius,Noun,13,0.372,filius(13),filii(2) filiis(2) filiisque(1) filio(3) filiorum(1) filios(4),,green
modus,Noun,13,0.372,modus(13),modis(2) modo(8) modum(3),,green
persona,Noun,13,0.372,persona(13),persona(3) personae(1) personam(2) personarum(1) personas(4) personis(2),,green
quicumque,Adjective,13,0.372,quicumque(13),quicumque(13),,green
alius,Pronoun,13,0.372,alius(13),alia(6) aliis(2) alios(3) aliud(1) alium(1),,green
quilibet,Pronoun,13,0.372,quilibet(13),cuilibet(1) cuiuslibet(4) qualibet(2) quibuslibet(2) quolibet(4),,green
Childebertus,Personal Name,13,0.372,Childebertus(13),childeberti(7) childeberto(1) childebertum(1) childebertus(4),,green
Guntchramnus,Personal Name,13,0.372,Guntchramnus(13),guntchramni(5) guntchramno(2) guntchramnum(1) guntchramnus(5),,green
fides,Noun,12,0.343,fides(12),fide(2) fidei(2) fidem(7) fides(1),,green
furtum,Noun,12,0.343,furtum(11) furtus(1),furto(1) furtu(1) furtum(9) furtus(1),,green
pars,Noun,12,0.343,pars(12),pars(2) parte(4) partebus(1) partem(3) partes(1) partibus(1),,green
tempus,Noun,12,0.343,tempus(12),tempore(7) temporibus(3) temporum(1) tempus(1),,green
vita,Noun,12,0.343,vita(12),vita(3) vitae(6) vitam(2) vite(1),,green
similiter,Adverb,12,0.343,similiter(12),similiter(12),,green
praesens,Adjective,12,0.343,praesens(11) presens(1),praesente(2) praesentem(1) praesenti(7) praesentis(1) presentibus(1),,green
accipio,Verb,12,0.343,accipio(12),acceperit(4) accepit(1) accipere(1) accipiant(2) accipiat(4),,green
dies,Noun,12,0.343,dies(12),die(8) diebus(2) diem(1) dies(1),,green
homo,Noun,11,0.314,homo(11),hominem(1) homines(3) hominibus(2) hominis(1) hominum(1) homo(2) nihilhominus(1),,green
locus,Noun,11,0.314,locum(5) locus(6),loca(5) locis(1) loco(3) locorum(1) locum(1),,green
sacerdos,Noun,11,0.314,sacerdos(11),sacerdote(1) sacerdotebus(1) sacerdotes(1) sacerdotibus(3) sacerdotis(1) sacerdotum(4),,green
eligo,Verb,11,0.314,elego(1) eligo(10),elegitur(1) elecitis(1) electas(1) electos(3) elegerit(1) eleguerit(1) eligat(1) eligatur(1) eligitur(1),,green
observo,Verb,11,0.314,observo(11),observanda(1) observare(6) observentur(1) observetur(3),,green
possideo,Verb,11,0.314,possideo(11),possederat(1) possedisse(1) possedit(3) possideat(1) possidenda(1) possidentem(1) possidere(3),,green
condicio,Noun,11,0.314,condicio(4) conditio(7),condicione(2) condiciones(1) condicionibus(1) conditione(5) conditiones(1) conditionibus(1),,green
venio,Verb,11,0.314,venio(11),venerit(1) veniant(2) veniat(1) venientem(1) venientes(1) venire(4) venirent(1),,green
video,Verb,11,0.314,vedeo(1) video(10),vedetur(1) videbantur(1) videbitur(1) videntur(3) videre(2) visi(2) visus(1),,green
solidus,Noun,10,0.286,solidus(10),solidi(1) solidis(1) solidos(8),,green
sors,Noun,10,0.286,sors(10),sors(1) sorte(1) sortem(8),,green
similis,Adjective,10,0.286,similis(10),simili(9) similis(1),,green
pax,Noun,9,0.257,pax(9),pace(3) pacis(4) pax(2),,green
regio,Noun,9,0.257,regio(9),regione(4) regionem(2) regionibus(1) regionis(2),,green
malus,Adjective,9,0.257,malus(9),mala(2) malam(1) mali(1) malis(1) malo(1) malorum(1) malus(2),,green
ambulo,Verb,9,0.257,ambulo(9),ambulare(5) ambulaverit(1) ambulent(1) ambulet(2),,green
confero,Verb,9,0.257,confero(9),collata(1) conferre(3) conlata(2) contulerit(1) contulerunt(1) contulit(1),,green
placet,Verb,9,0.257,placet(9),placet(1) placuerit(1) placuit(7),,green
praecipio,Verb,9,0.257,praecipio(8) precipio(1),praecepemus(1) praecepimus(2) praeceptum(2) praecipiamus(1) praecipientes(2) preciperet(1),,green
annus,Noun,9,0.257,annus(9),anno(7) annos(2),,green
auctoritas,Noun,9,0.257,auctoritas(9),auctoritas(1) auctoritate(1) auctoritatem(5) auctoritatibus(1) auctoritatis(1),,green
capital,Noun,9,0.257,capitale(9),capitale(9),,green
clericus,Noun,9,0.257,clericus(9),clerecus(2) clerici(2) clericis(3) clericorum(2),,green
facultas,Noun,8,0.229,facultas(8),facultas(2) facultate(2) facultatem(3) facultates(1),,green
sacramentum,Noun,8,0.229,sacramentum(8),sacramenta(4) sacramenti(1) sacramento(1) sacramentorum(1) sacramentum(1),,green
quantum,Adverb,8,0.229,quantum(8),quantum(8),,green
universus,Adjective,8,0.229,universus(8),universa(3) universae(1) universam(1) universi(1) universis(1) universorum(1),,green
conservo,Verb,8,0.229,conservo(8),conservare(2) conservari(1) conserventur(1) conservetur(4),,green
custodio,Verb,8,0.229,custodio(8),custodiant(1) custodire(4) custodiri(1) custodit(1) custoditur(1),,green
decerno,Verb,8,0.229,decerno(8),decernimus(1) decretum(2) decrevimus(5),,green
dico,Verb,8,0.229,dico(8),dicant(1) dicentes(1) dicere(1) diceret(1) dictum(2) dixerint(1) dixerit(1),,green
grafio,Noun,8,0.229,graphio(8),graphio(8),,green
invenio,Verb,8,0.229,invenio(8),invenerit(4) invenitur(2) inventae(1) inventus(1),,green
iudico,Verb,8,0.229,iudico(8),iudicandi(1) iudicandus(1) iudicare(2) iudicavit(1) iudicetur(3),,green
fidelis,Noun,7,0.2,fidelis(7),fidelibus(5) fidelium(2),,green
filia,Noun,7,0.2,filia(7),filia(3) filiae(1) filiam(1) filias(2),,green
ingenuus,Noun,7,0.2,ingenuus(7),ingenui(1) ingenuorum(1) ingenuos(1) ingenuus(4),,green
nomen,Noun,7,0.2,nomen(7),nomen(2) nomine(5),,green
pater,Noun,7,0.2,pater(7),pater(4) patri(1) patris(2),,green
periculum,Noun,7,0.2,periculum(7),periculum(7),,green
princeps,Noun,7,0.2,princeps(7),principem(3) principis(3) principum(1),,green
bonus,Adjective,7,0.2,bonus(7),bonae(4) bonam(1) bone(1) boni(1),,green
male,Adverb,7,0.2,male(7),male(7),,green
cunctus,Adjective,7,0.2,cunctus(7),cuncta(2) cuncti(1) cunctis(2) cuncto(1) cunctorum(1),,green
vester,Pronoun,7,0.2,vester(7),vestra(1) vestrae(1) vestras(2) vestro(1) vestrorum(1) vestros(1),,green
inculpatus,Adjective,7,0.2,inculpatus(7),inculpatur(5) inculpatus(2),,green
rachymburgius,Noun,7,0.2,rachymburgius(7),rachymburgiis(7),,green
publicus,Adjective,7,0.2,publicus(7),publecis(1) publica(1) publicam(1) publicas(1) publici(1) publicis(2),,green
superstes,Adjective,7,0.2,superstes(7),superstite(3) superstitem(3) superstitibus(1),,green
fio,Verb,7,0.2,fio(7),fiat(2) fierent(1) fieri(3) fit(1),,green
praesento,Verb,7,0.2,praesento(6) presento(1),praesentare(3) praesentaverit(1) praesententur(1) praesentet(1) presentare(1),,green
recipio,Verb,7,0.2,recipio(7),recipere(1) recipiat(4) recipiatur(2),,green
servo,Verb,7,0.2,servo(7),servamus(1) servando(1) servandum(1) servata(1) servato(1) servaverit(1) servetur(1),,green
centena,Noun,7,0.2,centena(7),centena(5) centenam(1) centenas(1),,green
civitas,Noun,7,0.2,civitas(7),civitatem(2) civitates(3) civitatibus(2),,green
domina,Noun,7,0.2,domna(7),domna(4) domnae(2) domnam(1),,green
domus,Noun,7,0.2,domus(7),domibus(1) domu(1) domum(1) domus(4),,green
frater,Noun,6,0.171,frater(6),frater(4) fratre(1) fratris(1),,green
mallus,Noun,6,0.171,mallus(6),mallis(1) mallo(3) mallum(1) mallus(1),,green
memoria,Noun,6,0.171,memoria(6),memoriae(5) memorie(1),,green
ordo,Noun,6,0.171,ordo(6),ordine(5) ordinem(1),,green
pontifex,Noun,6,0.171,pontefex(3) pontifex(3),pontefici(1) ponteficibus(2) pontifices(2) pontificibus(1),,green
praeceptum,Noun,6,0.171,praeceptum(6),praecepti(1) praecepto(1) praeceptorum(1) praeceptum(3),,green
pretium,Noun,6,0.171,precium(4) pretium(2),precio(1) precium(3) pretium(2),,green
sententia,Noun,6,0.171,sententia(6),sententia(5) sententiam(1),,green
tenor,Noun,6,0.171,tenor(6),tenore(5) tenorem(1),,green
terra,Noun,6,0.171,terra(6),terra(2) terrae(1) terras(3),,green
transitus,Noun,6,0.171,transitus(6),transitum(6),,green
uxor,Noun,6,0.171,uxor(6),uxorem(5) uxoris(1),,green
voluntas,Noun,6,0.171,voluntas(6),voluntas(1) voluntate(4) voluntatem(1),,green
iure,Adverb,6,0.171,iure(6),iure(6),,green
divinus,Adjective,6,0.171,divinus(6),divina(5) divinum(1),,green
integer,Adjective,6,0.171,integer(6),integra(1) integram(3) integrum(2),,green
iustus,Adjective,6,0.171,iustus(6),iusta(2) iuste(1) iusto(1) iustum(1) iustus(1),,green
reliquus,Adjective,6,0.171,reliquus(6),reliqua(1) reliquis(3) reliquorum(2),,green
sanctus,Adjective,6,0.171,sanctus(6),sancta(2) sanctae(1) sancti(2) sanctis(1),,green
Brunichildis,Personal Name,6,0.171,Brunichildis(6),brunichilde(1) brunichildem(1) brunichildis(4),,green
aufero,Verb,6,0.171,aufero(6),abstolerit(1) auferant(1) auferantur(1) auferat(2) tultum(1),,green
Franci,Proper Name,6,0.171,Franci(6),francorum(6),,green
concedo,Verb,6,0.171,concedo(6),concedatur(1) concedemus(1) concedere(1) concederemus(1) concessisse(1) concessit(1),,green
condemno,Verb,6,0.171,condemno(4) condempno(2),condemnabit(1) condemnentur(1) condemnetur(2) condempnetur(2),,green
corrigo,Verb,6,0.171,corrigo(6),corrigat(1) corrigatur(1) corrigere(1) corrigit(1) corrigite(1) corrigitis(1),,green
Kalendae,Proper Name,6,0.171,Kalendae(6),kalendas(6),,green
emendo,Verb,6,0.171,emendo(6),emendare(4) emendatum(1) emendetur(1),,green
invito,Verb,6,0.171,invito(6),invita(1) invitatus(1) invitavit(3) invitetur(1),,green
marlo,Verb,6,0.171,mallo(6),mallare(3) mallat(1) mallaverit(1) malletur(1),,green
mitto,Verb,6,0.171,mitto(6),miserit(2) mittat(3) mittemus(1),,green
nosco,Verb,6,0.171,nosco(6),noscitur(1) nostis(1) notam(1) noverit(1) noveritis(1) novit(1),,green
occido,Verb,6,0.171,occido(6),hoccisus(1) occidantur(1) occidat(1) occidere(1) occiderit(2),,green
ordino,Verb,6,0.171,ordino(6),ordinamus(1) ordinari(1) ordinatum(1) ordinetur(3),,green
socio,Verb,6,0.171,socio(6),sociare(4) societ(1) societur(1),,green
studeo,Verb,6,0.171,studeo(6),studeant(2) studeatis(1) studuerimus(1) studuerint(1) studuimus(1),,green
teneo,Verb,6,0.171,teneo(6),teneat(2) tenetur(1) teniatur(1) tenuerit(1) tenuit(1),,green
audientia,Noun,6,0.171,audientia(6),audientia(4) audientiam(2),,green
vivo,Verb,6,0.171,vivo(6),vivente(2) viventes(1) vivere(2) vixisse(1),,green
culpa,Noun,6,0.171,culpa(6),culpa(1) culpae(2) culpam(1) culparum(1) culpas(1),,green
iudicium,Noun,5,0.143,iudicium(5),iudicia(2) iudicii(2) iudicium(1),,green
ius,Noun,5,0.143,ius(5),iura(2) iuris(2) ius(1),,green
licentia,Noun,5,0.143,licentia(5),licentia(2) licentiam(3),,green
manus,Noun,5,0.143,manus(5),manu(3) manum(1) manus(1),,green
pactio,Noun,5,0.143,pactio(5),pactio(1) pactione(1) pactionem(1) pactiones(1) pactioni(1),,green
potens,Noun,5,0.143,potens(5),potentes(1) potentibus(1) potentum(3),,green
praeceptio,Noun,5,0.143,praeceptio(5),praeceptio(1) praeceptionem(2) praeceptionis(2),,green
praesentia,Noun,5,0.143,praesentia(3) presencia(1) presentia(1),praesentia(3) presencia(1) presentia(1),,green
bene,Adverb,5,0.143,bene(5),bene(2) melius(3),,green
scelus,Noun,5,0.143,scelus(5),scelera(4) scelerum(1),,green
vestigium,Noun,5,0.143,vestigium(4) vestigius(1),vestigia(2) vestigium(2) vestigius(1),,green
trustis,Noun,5,0.143,trustis(5),truste(3) trustem(1) trustis(1),,green
medius,Adjective,5,0.143,medius(5),media(1) mediam(1) medio(1) medios(2),,green
perpetuus,Adjective,5,0.143,perpetuus(5),perpetua(1) perpetuis(1) perpetuo(3),,green
amitto,Verb,5,0.143,amitto(5),amittat(4) amittere(1),,green
audio,Verb,5,0.143,audio(5),audierit(2) audire(1) audissent(1) auditus(1),,green
credo,Verb,5,0.143,credo(5),credentibus(1) crediderit(1) credimus(3),,green
Sigibertus,Personal Name,5,0.143,Sigibertus(5),sigiberto(3) sigibertum(2),,green
iubeo,Verb,5,0.143,iubeo(5),iubemus(3) iussimus(2),,green
nuntio,Verb,5,0.143,nuncio(1) nuntio(4),nunciata(1) nuntiabantur(1) nuntiant(1) nuntiaverit(1) nuntientur(1),,green
perdo,Verb,5,0.143,perdo(5),perdat(1) perdedisse(1) perdiderat(1) perdiderit(2),,green
perpetro,Verb,5,0.143,perpetro(5),perpetrare(3) perpetrari(1) perpetraverit(1),,green
persequor,Verb,5,0.143,persequor(5),persequatur(1) persequendum(1) persequens(2) persequere(1),,green
pono,Verb,5,0.143,pono(5),ponantur(1) ponatur(1) posete(1) posita(1) positi(1),,green
possido,Verb,5,0.143,possedo(5),possedeant(2) possedeat(1) possedent(2),,green
requiro,Verb,5,0.143,requiro(5),requirant(1) requirantur(1) requirat(1) requiratur(1) requisiti(1),,green
revoco,Verb,5,0.143,revoco(5),revocabit(1) revocandus(1) revocare(2) revocet(1),,green
ager,Noun,5,0.143,ager(5),agri(1) agris(3) agro(1),,green
solvo,Verb,5,0.143,solvo(5),solvat(4) solvere(1),,green
sustineo,Verb,5,0.143,sustineo(5),sustineat(3) sustinere(2),,green
compositio,Noun,5,0.143,compositio(4) conpositio(1),composicione(1) compositionem(2) conposicionem(1) conpositionem(1),,green
coniugium,Noun,5,0.143,coniugium(5),coniugio(2) coniugium(3),,green
crimen,Noun,5,0.143,crimen(5),crimine(4) criminis(1),,green
malum,Noun,4,0.114,malum(4),mala(1) mali(1) malis(1) malum(1),,green
mulier,Noun,4,0.114,mulier(4),mulier(3) muliere(1),,green
opus,Noun,4,0.114,opus(4),opera(1) opere(1) operibus(1) operis(1),,green
placitum,Noun,4,0.114,placitum(4),placita(2) placitum(2),,green
potestas,Noun,4,0.114,potestas(4),potestate(1) potestatem(1) potestati(1) potestatis(1),,green
praedicatio,Noun,4,0.114,praedicatio(4),praedicatio(1) praedicatione(2) praedicationem(1),,green
provincia,Noun,4,0.114,provincia(4),provincia(1) provincias(2) provinciis(1),,green
studium,Noun,4,0.114,studium(4),studio(4),,green
terminus,Noun,4,0.114,termen(4),terminibus(4),,green
vidua,Noun,4,0.114,vidua(4),viduae(1) viduarum(1) viduas(1) viduis(1),,green
vir,Noun,4,0.114,vir(4),vir(2) viris(2),,green
inviolabiliter,Adverb,4,0.114,inviolabiliter(4),inviolabiliter(4),,green
culpabilis,Adjective,4,0.114,culpabilis(4),culpabilem(1) culpabilis(3),,green
gloriosus,Adjective,4,0.114,gloriosus(4),gloriosae(2) gloriosi(1) gloriosissima(1),,green
Marcius,Adjective,4,0.114,Marcius(4),marcias(4),,green
sonnis,Noun,4,0.114,sunnia(2) sunnis(2),sunnia(2) sunni(1) sunnis(1),,green
par,Adjective,4,0.114,par(4),pari(4),,green
purus,Adjective,4,0.114,purus(4),pura(2) purae(1) puram(1),,green
acquiro,Verb,4,0.114,acquiro(2) adquiro(2),adquisisse(2) adquirat(1) adquiratur(1),,green
adduco,Verb,4,0.114,adduco(4),adducant(1) adducat(2) adducere(1),,green
adiuvo,Verb,4,0.114,adiuvo(4),adiuvare(3) adiuvet(1),,green
Chlothacharius,Personal Name,4,0.114,Chlothacharius(4),chlothacharii(3) chlothacharius(1),,green
agnosco,Verb,4,0.114,agnosco(3) agnusco(1),agnoscitis(2) agnoscitur(1) agnuscendum(1),,green
Gunthramnus,Personal Name,4,0.114,Gunthramnus(4),gunthramni(3) gunthramnus(1),,green
consentio,Verb,4,0.114,consentio(4),consenserit(2) consentiendo(1) consentire(1),,green
consequor,Verb,4,0.114,consequor(4),consecutus(4),,green
convinco,Verb,4,0.114,convinco(4),convicitur(1) convictus(1) convincuntur(2),,green
defenso,Verb,4,0.114,defenso(4),defensandus(1) defensare(2) defensentur(1),,green
distringo,Verb,4,0.114,distringo(4),distringantur(2) distringat(1) distringere(1),,green
farfalius,Noun,4,0.114,farfalius(4),farfaliis(1) farfalium(2) farfalius(1),,green
exigo,Verb,4,0.114,exigo(4),exegat(1) exegatur(1) exegerint(1) exegi(1),,green
expeto,Verb,4,0.114,expeto(4),expetandam(1) expetendum(1) expetere(1) expetierit(1),,green
leodis,Noun,4,0.114,leodis(4),leodebus(1) leodibus(1) leodis(1) leodos(1),,green
ingredior,Verb,4,0.114,ingredior(4),ingredere(2) ingrederemur(1) ingredi(1),,green
intercedo,Verb,4,0.114,intercedo(4),intercedente(4),,green
morior,Verb,4,0.114,morio(1) morior(3),morire(1) moriatur(1) moriens(1) moritur(1),,green
permaneo,Verb,4,0.114,permaneo(4),permaneat(1) permanentem(1) permanere(2),,green
pertineo,Verb,4,0.114,perteneo(1) pertineo(3),pertenere(1) pertineat(1) pertinentes(1) pertinet(1),,green
